fixture_id,data,partida,time,team_id,local_visitante,adversario,adversario_id,resultado,league_id,season_id,state_id,Escanteios,Posse de bola (%),Gols,Assistências,Cartões vermelhos,Cartões amarelos,Dribles bem-sucedidos (%)
19722807,2026-08-22 14:00:00,Rangers vs St. Mirren,Rangers,62,home,St. Mirren,496,,501,28275,10,,,,,,,
19722812,2026-08-09 15:00:00,Rangers vs Hibernian,Rangers,62,home,Hibernian,66,Hibernian won after full-time.,501,28275,5,7,75,1,0,,1,30
19722823,2026-07-31 19:00:00,Dundee United vs Rangers,Rangers,62,away,Dundee United,282,Game ended in draw.,501,28275,5,10,54,1,0,,3,75
19700206,2026-05-16 11:30:00,Falkirk vs Rangers,Rangers,62,away,Falkirk,770,Rangers won after full-time.,501,25598,5,4,45,5,3,,0,45
19700208,2026-05-13 19:00:00,Rangers vs Hibernian,Rangers,62,home,Hibernian,66,Hibernian won after full-time.,501,25598,5,9,72,1,0,,2,44
19700214,2026-05-10 11:00:00,Celtic vs Rangers,Rangers,62,away,Celtic,53,Celtic won after full-time.,501,25598,5,7,49,1,0,,2,56
19700220,2026-05-04 16:30:00,Hearts vs Rangers,Rangers,62,away,Hearts,314,Hearts won after full-time.,501,25598,5,6,58,1,,,2,30
19700227,2026-04-26 14:00:00,Rangers vs Motherwell,Rangers,62,home,Motherwell,309,Motherwell won after full-time.,501,25598,5,7,51,2,2,,1,73
19428234,2026-04-12 11:00:00,Falkirk vs Rangers,Rangers,62,away,Falkirk,770,Rangers won after full-time.,501,25598,5,1,48,6,4,,4,38
19428229,2026-04-04 14:00:00,Rangers vs Dundee United,Rangers,62,home,Dundee United,282,Rangers won after full-time.,501,25598,5,10,67,4,3,,1,60
